Rank,Team,Games,Wins,Draws,Losses,Goals for,Goals against,Goal Difference,Points,Last 5 Games,Attendance per Game,Top Team Scorers,Top Goalkeeper
1, Slavia Prague,16,14,2,0,48,8,+40,44,W W W W W,"2,019",Abdallah Sima - 9,Ondřej Kolář
2, Sparta Prague,17,11,2,4,33,19,+14,35,D D W W L,"1,445",Lukáš Juliš - 11,Florin Niță
3, Jablonec,16,11,2,3,33,16,+17,35,D W W W W,722,Ivan Schranz - 6,Jan Hanuš
4, Slovácko,17,9,4,4,30,17,+13,31,W W W W D,442,Jan Kliment - 6,Vít Nemrava
5, Baník Ostrava,16,7,5,4,21,13,+8,26,W D L D W,"1,382",Dyjan Carlos De Azevedo - 6,Jan Laštůvka
6, Sigma Olomouc,16,6,7,3,25,19,+6,25,D D L L W,819,David Houska - 4,Aleš Mandous
7, FK Pardubice,17,7,4,6,16,19,-3,25,D W L L W,523,David Huf - 5,Marek Boháč
8, České Budĕjov.,17,6,7,4,23,23,0,25,L W W W D,471,"Benjamin Čolić, Patrik Brandner - 5",Jaroslav Drobný
9, Slovan Liberec,16,7,4,5,24,17,+7,25,W D D W L,984,Michael Rabušic - 7,Filip Nguyen
10, Viktoria Plzeň,16,7,3,6,30,21,+9,24,W L L D W,"1,333","Aleš Čermák, Jean-David Beauguel - 6",Aleš Hruška
11, Karviná,17,5,6,6,17,25,-8,21,W L L L D,738,Kristi Qose - 4,Petr Bolek
12, Bohemians 1905,17,5,4,8,19,22,-3,19,L D L D W,806,Petr Hronek - 3,Patrik Le Giang
13, Fastav Zlín,16,5,3,8,18,24,-6,18,D L D D L,737,Tomáš Poznar - 7,Stanislav Dostál
14, Teplice,17,5,2,10,18,37,-19,17,W W L L D,712,Jakub Mareš - 6,Tomáš Grigar
15, Příbram,17,2,4,11,12,33,-21,10,L D L L L,552,"Tomáš Pilík, Emmanuel Antwi... - 2",Ondřej Kočí
16, Zbrojovka Brno,16,2,4,10,13,31,-18,10,W L L D L,"1,233","Peter Štepanovský, Jan Hladík... - 2","Martin Šustr, Jiří Floder"
17, Mladá Boleslav,16,2,4,10,17,30,-13,10,L L L D L,461,Jiří Klíma - 4,Petr Mikulec
18, Opava,16,1,5,10,11,34,-23,8,L D L L D,744,"Jan Zidek, Karol Mondek - 2",Vilem Fendrich
